2026-09-03 19:47:59.420 -0400	START		Running FindAndReplace.script
2026-09-03 19:47:59.535 -0400	waitfor	NewTaskIcon	found at (21, 79)	1	on_findandreplace	FindAndReplace.script
2026-09-03 19:47:59.579 -0400	typetext		[controlKey]f	3	on_findandreplace	FindAndReplace.script
2026-09-03 19:47:59.582 -0400	set		SEARCHRECTANGLE = [3,105,249,555]	4	on_findandreplace	FindAndReplace.script
2026-09-03 19:48:03.080 -0400	click	(TEXT:"Replace")	at (119, 123)	5	on_findandreplace	FindAndReplace.script
2026-09-03 19:48:03.700 -0400	click	(TEXT:"Type text to find")	at (109, 196)	6	on_findandreplace	FindAndReplace.script
2026-09-03 19:48:04.088 -0400	typetext		Test Test[tab]	11	on_findandreplace	FindAndReplace.script
2026-09-03 19:48:04.834 -0400	click	(TEXT:"Type text to replace")	at (118, 262)	12	on_findandreplace	FindAndReplace.script
2026-09-03 19:48:05.068 -0400	typetext		     	13	on_findandreplace	FindAndReplace.script
2026-09-03 19:48:05.379 -0400	click	EmptyCheckbox	at (80, 337)	14	on_findandreplace	FindAndReplace.script
2026-09-03 19:48:05.687 -0400	click	ReplaceButton_Active	at (204, 299)	15	on_findandreplace	FindAndReplace.script
2026-09-03 19:48:05.997 -0400	click	FindText_X	at (213, 195)	16	on_findandreplace	FindAndReplace.script
2026-09-03 19:48:07.321 -0400	typetext		Salvatore Pacella, M.D., M.B.A, F.A.C.S.[tab]	11	on_findandreplace	FindAndReplace.script
2026-09-03 19:48:08.126 -0400	click	(TEXT:"Type text to replace")	at (118, 262)	12	on_findandreplace	FindAndReplace.script
2026-09-03 19:48:08.358 -0400	typetext		     	13	on_findandreplace	FindAndReplace.script
2026-09-03 19:48:08.622 -0400	click	EmptyCheckbox	at (80, 337)	14	on_findandreplace	FindAndReplace.script
2026-09-03 19:48:08.917 -0400	click	ReplaceButton_Active	at (204, 299)	15	on_findandreplace	FindAndReplace.script
2026-09-03 19:48:09.245 -0400	click	FindText_X	at (213, 195)	16	on_findandreplace	FindAndReplace.script
2026-09-03 19:48:10.685 -0400	typetext		Salvatore J. Pacella, M.D., M.B.A, F.A.C.S.[tab]	11	on_findandreplace	FindAndReplace.script
2026-09-03 19:48:11.507 -0400	click	(TEXT:"Type text to replace")	at (118, 262)	12	on_findandreplace	FindAndReplace.script
2026-09-03 19:48:11.740 -0400	typetext		     	13	on_findandreplace	FindAndReplace.script
2026-09-03 19:48:12.050 -0400	click	EmptyCheckbox	at (80, 337)	14	on_findandreplace	FindAndReplace.script
2026-09-03 19:48:12.300 -0400	click	ReplaceButton_Active	at (204, 299)	15	on_findandreplace	FindAndReplace.script
2026-09-03 19:48:12.626 -0400	click	FindText_X	at (213, 195)	16	on_findandreplace	FindAndReplace.script
2026-09-03 19:48:12.982 -0400	typetext		4/6/2026[tab]	11	on_findandreplace	FindAndReplace.script
2026-09-03 19:48:13.698 -0400	click	(TEXT:"Type text to replace")	at (118, 262)	12	on_findandreplace	FindAndReplace.script
2026-09-03 19:48:13.929 -0400	typetext		     	13	on_findandreplace	FindAndReplace.script
2026-09-03 19:48:14.212 -0400	click	EmptyCheckbox	at (80, 337)	14	on_findandreplace	FindAndReplace.script
2026-09-03 19:48:14.506 -0400	click	ReplaceButton_Active	at (204, 299)	15	on_findandreplace	FindAndReplace.script
2026-09-03 19:48:14.835 -0400	click	FindText_X	at (213, 195)	16	on_findandreplace	FindAndReplace.script
2026-09-03 19:48:14.870 -0400	EndTestCase		(Duration:"15.447", Errors:"0", Exceptions:"0", StartTime:"2026-09-03 19:47:59 -0400", Successes:"1", TestCase:"FindAndReplace.script", Warnings:"0")
2026-09-03 19:48:14.910 -0400	SUCCESS		Execution Time 0:00:15 FindAndReplace.script
