Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2026-09-08 11:30:49.611 -0400,"Failure",0:00:00,1,0,0,"20260908_113049.611/LogFile.txt","","Workbook Error -- Must specify File property with path to the workbook file",0
2026-09-08 15:04:47.691 -0400,"Failure",0:00:00,1,0,0,"20260908_150447.691/LogFile.txt","","Workbook Error -- Must specify File property with path to the workbook file",0
2026-09-08 15:05:06.744 -0400,"Failure",0:00:00,1,0,0,"20260908_150506.744/LogFile.txt","","Workbook Error -- Must specify File property with path to the workbook file",0
2026-09-08 15:05:22.009 -0400,"Success",0:00:00,0,0,0,"20260908_150522.009/LogFile.txt","","",1
2026-09-08 15:05:55.447 -0400,"Aborted",0:00:29,1,0,0,"20260908_150555.447/LogFile.txt","","",0
2026-09-08 15:07:23.168 -0400,"Success",0:00:00,0,0,0,"20260908_150723.168/LogFile.txt","","",1
2026-09-08 15:08:01.618 -0400,"Success",0:00:00,0,0,0,"20260908_150801.618/LogFile.txt","","",1
2026-09-08 15:08:35.538 -0400,"Success",0:00:00,0,0,0,"20260908_150835.538/LogFile.txt","","",1
2026-09-08 15:09:38.314 -0400,"Success",0:00:00,0,0,0,"20260908_150938.314/LogFile.txt","","",1
2026-09-08 15:10:23.465 -0400,"Success",0:00:00,0,0,0,"20260908_151023.465/LogFile.txt","","",1
2026-09-08 15:18:34.289 -0400,"Failure",0:00:00,1,0,0,"20260908_151834.289/LogFile.txt","","SenseTalk Compiler Exception -- in primary_createconsentforms:\nSyntax Error at line 6: can't understand ""["" at character 103",0
2026-09-08 15:18:59.724 -0400,"Success",0:00:00,0,0,0,"20260908_151859.724/LogFile.txt","","",1
2026-09-08 15:19:56.182 -0400,"Success",0:00:00,0,0,0,"20260908_151956.182/LogFile.txt","","",1
2026-09-08 15:20:39.484 -0400,"Success",0:00:00,0,0,0,"20260908_152039.484/LogFile.txt","","",1
2026-09-08 15:20:52.785 -0400,"Success",0:00:00,0,0,0,"20260908_152052.785/LogFile.txt","","",1
2026-09-08 15:35:34.587 -0400,"Success",0:00:00,0,0,0,"20260908_153534.587/LogFile.txt","","",1
2026-09-08 15:37:04.337 -0400,"Aborted",0:00:34,1,0,0,"20260908_153704.337/LogFile.txt","","",0
2026-09-08 15:38:44.791 -0400,"Aborted",0:02:08,1,0,0,"20260908_153844.791/LogFile.txt","","",0
2026-09-08 15:41:17.717 -0400,"Aborted",0:01:54,1,0,0,"20260908_154117.717/LogFile.txt","","",0
2026-09-08 15:43:28.377 -0400,"Aborted",0:01:11,1,0,0,"20260908_154328.377/LogFile.txt","","",0
2026-09-08 15:45:40.871 -0400,"Aborted",0:01:04,1,0,0,"20260908_154540.871/LogFile.txt","","",0
2026-09-08 15:47:28.256 -0400,"Aborted",0:00:04,1,0,0,"20260908_154728.256/LogFile.txt","","",0
2026-09-08 15:49:34.100 -0400,"Aborted",0:01:49,1,0,0,"20260908_154934.100/LogFile.txt","","",0
2026-09-08 15:51:32.575 -0400,"Aborted",0:00:34,1,0,0,"20260908_155132.575/LogFile.txt","","",0
2026-09-08 15:52:30.293 -0400,"Aborted",0:00:07,1,0,0,"20260908_155230.293/LogFile.txt","","",0
2026-09-08 15:52:45.327 -0400,"Aborted",0:01:48,1,0,0,"20260908_155245.327/LogFile.txt","","",0
2026-09-08 15:54:46.301 -0400,"Aborted",0:02:14,1,0,0,"20260908_155446.301/LogFile.txt","","",0
2026-09-08 15:57:08.875 -0400,"Aborted",0:00:32,1,0,0,"20260908_155708.875/LogFile.txt","","",0
2026-09-08 15:57:58.361 -0400,"Aborted",0:00:13,1,0,0,"20260908_155758.361/LogFile.txt","","",0
2026-09-08 15:58:37.019 -0400,"Aborted",0:23:08,1,0,0,"20260908_155837.019/LogFile.txt","","",0
2026-09-08 17:04:35.019 -0400,"Aborted",0:00:45,1,0,0,"20260908_170435.019/LogFile.txt","","",0
2026-09-08 17:06:02.607 -0400,"Aborted",0:00:46,1,0,0,"20260908_170602.607/LogFile.txt","","",0
2026-09-08 17:07:17.818 -0400,"Success",0:01:46,0,0,0,"20260908_170717.818/LogFile.txt","","",1
